Etanol | Indicador Mensal do Etanol Hidratado Combustível CEPEA/ESALQ - Alagoas;;;;;;;;;
Nota;"Sem frete, sem ICMS
Em junho de 2011, o número de informações insuficientes para compor uma média.";;;;;;;;
Fonte;Cepea;;;;;;;;
Data;À vista R$;À vista US$;;;;;;;
01/2004;0,5960;0,2094;;;;;;;
02/2004;0,6010;0,2056;;;;;;;
03/2004;0,5781;0,1991;;;;;;;
04/2004;0,5520;0,1902;;;;;;;
05/2004;0,5976;0,1944;;;;;;;
06/2004;0,6997;0,2234;;;;;;;
07/2004;0,7388;0,2425;;;;;;;
08/2004;0,8066;0,2676;;;;;;;
09/2004;0,7975;0,2746;;;;;;;
10/2004;0,8407;0,2945;;;;;;;
11/2004;0,9728;0,3471;;;;;;;
12/2004;0,9254;0,3391;;;;;;;
01/2005;0,8856;0,3286;;;;;;;
02/2005;0,8371;0,3214;;;;;;;
03/2005;0,8729;0,3230;;;;;;;
04/2005;0,9060;0,3481;;;;;;;
05/2005;0,8553;0,3467;;;;;;;
06/2005;0,8188;0,3385;;;;;;;
07/2005;0,8810;0,3716;;;;;;;
08/2005;0,8900;0,3764;;;;;;;
09/2005;0,8752;0,3781;;;;;;;
10/2005;0,8888;0,3946;;;;;;;
11/2005;0,8850;0,3985;;;;;;;
12/2005;0,8668;0,3824;;;;;;;
01/2006;0,9842;0,4301;;;;;;;
02/2006;0,9852;0,4540;;;;;;;
03/2006;1,0470;0,4886;;;;;;;
04/2006;1,1655;0,5438;;;;;;;
05/2006;1,0857;0,5031;;;;;;;
06/2006;1,0584;0,4678;;;;;;;
07/2006;1,0604;0,4835;;;;;;;
08/2006;1,0810;0,4997;;;;;;;
09/2006;0,8984;0,4154;;;;;;;
10/2006;0,8481;0,3942;;;;;;;
11/2006;0,8003;0,3716;;;;;;;
12/2006;0,8177;0,3794;;;;;;;
01/2007;0,8547;0,3994;;;;;;;
02/2007;0,8948;0,4259;;;;;;;
03/2007;0,8846;0,4222;;;;;;;
04/2007;0,9671;0,4749;;;;;;;
05/2007;0,9218;0,4624;;;;;;;
06/2007;0,7889;0,4077;;;;;;;
07/2007;0,8341;0,4414;;;;;;;
08/2007;0,8522;0,4368;;;;;;;
09/2007;0,7275;0,3794;;;;;;;
10/2007;0,6886;0,3801;;;;;;;
11/2007;0,7284;0,4129;;;;;;;
12/2007;0,8342;0,4660;;;;;;;
01/2008;0,8050;0,4540;;;;;;;
02/2008;0,7682;0,4413;;;;;;;
03/2008;0,8214;0,4832;;;;;;;
04/2008;0,8483;0,5003;;;;;;;
05/2008;0,8551;0,5132;;;;;;;
06/2008;0,8998;0,5540;;;;;;;
07/2008;1,0610;0,6648;;;;;;;
08/2008;1,1544;0,7201;;;;;;;
09/2008;0,9030;0,5115;;;;;;;
10/2008;0,8310;0,3840;;;;;;;
11/2008;0,7962;0,3539;;;;;;;
12/2008;0,8071;0,3372;;;;;;;
01/2009;0,8079;0,3480;;;;;;;
02/2009;0,9249;0,4000;;;;;;;
03/2009;0,8216;0,3549;;;;;;;
04/2009;0,7563;0,3401;;;;;;;
05/2009;0,8501;0,4063;;;;;;;
06/2009;0,9003;0,4583;;;;;;;
07/2009;0,9535;0,4904;;;;;;;
08/2009;0,9931;0,5368;;;;;;;
